seq,round,bench,args,status,exit_code,wall_s,window_s,cores_by_times,cores_by_cycles,frame_median_us,frame_mean_us,frame_min_us,frame_p95_us,raw
56,18,small,"3000 900 small",OK,0,0.614,0.449357,3.999,4.349,144.10,149.36,22.80,229.20,raw/056_small.txt
57,18,large,"3000 900 large",OK,0,0.660,0.497609,4.459,4.429,159.10,165.55,68.10,244.40,raw/057_large.txt
58,19,boid,"300 30",OK,0,0.340,0.280913,10.401,9.847,999.10,1032.24,873.20,1273.80,raw/058_boid.txt
59,19,small,"3000 900 small",OK,0,0.551,0.419896,3.423,4.313,126.90,139.52,21.70,257.40,raw/059_small.txt
60,19,large,"3000 900 large",OK,0,0.568,0.417312,5.279,4.960,131.10,138.79,60.30,217.50,raw/060_large.txt
61,20,boid,"300 30",OK,0,0.328,0.268230,11.301,11.260,964.10,985.08,863.20,1144.00,raw/061_boid.txt
62,20,small,"3000 900 small",OK,0,0.602,0.442384,4.592,4.265,142.00,147.01,25.20,223.50,raw/062_small.txt
63,20,large,"3000 900 large",OK,0,0.698,0.521856,4.401,4.118,165.90,173.62,70.00,257.70,raw/063_large.txt
64,1,boid-slow,"3300 3000",OK,0,3.908,0.407066,12.552,11.671,1281.40,1325.56,1097.20,1646.60,raw/064_boid-slow.txt
65,2,boid-slow,"3300 3000",OK,0,4.084,0.423413,12.694,11.952,1352.60,1379.98,1128.20,1693.90,raw/065_boid-slow.txt
66,3,boid-slow,"3300 3000",OK,0,4.239,0.426420,10.956,11.623,1356.00,1392.46,1093.40,1713.30,raw/066_boid-slow.txt
67,4,boid-slow,"3300 3000",OK,0,4.093,0.390465,15.566,12.020,1265.30,1276.77,1034.90,1505.90,raw/067_boid-slow.txt
68,5,boid-slow,"3300 3000",OK,0,3.956,0.406453,10.725,11.974,1292.80,1324.61,1073.00,1627.20,raw/068_boid-slow.txt
69,1,wake,"2000 200",OK,0,1.347,,,,,,,,raw/069_wake.txt
70,2,wake,"2000 200",OK,0,1.342,,,,,,,,raw/070_wake.txt
71,3,wake,"2000 200",OK,0,1.358,,,,,,,,raw/071_wake.txt
72,4,wake,"2000 200",OK,0,1.346,,,,,,,,raw/072_wake.txt
73,5,wake,"2000 200",OK,0,1.359,,,,,,,,raw/073_wake.txt
